"scientificName","decimalLongitude","decimalLatitude"
"Rupicola_peruvianus",-75.75835,3.196362
"Rupicola_peruvianus",-70.84395,-13.347166
"Rupicola_peruvianus",-77.99431,1.21063
"Rupicola_peruvianus",-79.12007,-2.104214
"Rupicola_peruvianus",-75.891914,5.492093
"Rupicola_peruvianus",-77.57606,-0.719592
"Rupicola_peruvianus",-72.4358,5.5127
"Rupicola_peruvianus",-78.79033,-0.266529
"Rupicola_peruvianus",-78.787,0.321968
"Rupicola_peruvianus",-78.762276,-0.433076
"Rupicola_peruvianus",-74.67752,3.763568
"Rupicola_peruvianus",-77.213976,-5.95311
"Rupicola_peruvianus",-77.299924,-5.912384
"Rupicola_peruvianus",-78.359728,0.652308
"Rupicola_peruvianus",-73.26599,4.859573
"Rupicola_peruvianus",-79.087851,-4.037133
"Rupicola_peruvianus",-75.67069,4.711592
"Rupicola_peruvianus",-77.44692,-0.13808
"Rupicola_peruvianus",-78.20473,0.793422
"Rupicola_peruvianus",-77.135184,0.668907
"Rupicola_peruvianus",-78.9888,-5.465337
"Rupicola_peruvianus",-79.18546,-2.188891
"Rupicola_peruvianus",-75.722404,5.641246
"Rupicola_peruvianus",-71.587,-13.174747
"Rupicola_peruvianus",-76.28217,4.752833
"Rupicola_peruvianus",-75.89205,5.369036
"Rupicola_peruvianus",-78.628795,0.062463
"Rupicola_peruvianus",-73.13678,-12.828129
"Rupicola_peruvianus",-78.07584,1.610655
"Rupicola_peruvianus",-76.08676,-9.695173
"Rupicola_peruvianus",-76.403095,3.558287
"Rupicola_peruvianus",-72.942894,-12.515868
"Rupicola_peruvianus",-75.213715,2.759826
"Rupicola_peruvianus",-77.670872,-0.478027
"Rupicola_peruvianus",-70.983329,-12.236666
"Rupicola_peruvianus",-75.607124,-10.369352
"Rupicola_peruvianus",-79.13264,-4.551057
"Rupicola_peruvianus",-72.812706,-12.748935
"Rupicola_peruvianus",-76.75599,-8.437107
"Rupicola_peruvianus",-73.76204,4.34635
"Rupicola_peruvianus",-65.249988,-17.58198
